init_name;avi_name;order;family
GREAT TINAMOU;Great Tinamou;Tinamiformes;Tinamidae
GREAT XENOPS;Great Xenops;Passeriformes;Furnariidae
GREATER PEWEE;Greater Pewee;Passeriformes;Tyrannidae
GREATER PRAIRIE CHICKEN;Greater Prairie-chicken;Galliformes;Phasianidae
GREATOR SAGE GROUSE;Greater Sage-Grouse;Galliformes;Phasianidae
GREEN BROADBILL;Grauer's Broadbill;Passeriformes;Eurylaimidae
GREEN JAY;Inca Jay;Passeriformes;Corvidae
GREEN MAGPIE;Green Magpie;Passeriformes;Corvidae
GREEN WINGED DOVE;Emerald Emerald-Dove;Columbiformes;Columbidae
GREY CUCKOOSHRIKE;Grey Cuckooshrike;Passeriformes;Campephagidae
GREY HEADED CHACHALACA;Grey-headed Chachalaca;Galliformes;Cracidae
GREY HEADED FISH EAGLE;Grey-headed Fish-Eagle;Accipitriformes;Accipitridae
GREY PLOVER;Grey Plover;Charadriiformes;Charadriidae
GROVED BILLED ANI;Groove-billed Ani;Cuculiformes;Cuculidae
GUINEA TURACO;Guinea Turaco;Musophagiformes;Musophagidae
GUINEAFOWL;Helmeted Guineafowl;Galliformes;Numididae
GURNEYS PITTA;Gurney's Pitta;Passeriformes;Pittidae
GYRFALCON;Gyrfalcon;Falconiformes;Falconidae
HAMERKOP;Hamerkop;Pelecaniformes;Scopidae
HARLEQUIN DUCK;Harlequin Duck;Anseriformes;Anatidae
HARLEQUIN QUAIL;Harlequin Quail;Galliformes;Phasianidae
HARPY EAGLE;Harpy Eagle;Accipitriformes;Accipitridae
HAWAIIAN GOOSE;Nene;Anseriformes;Anatidae
HAWFINCH;Hawfinch;Passeriformes;Fringillidae
HELMET VANGA;Helmet Vanga;Passeriformes;Vangidae
HEPATIC TANAGER;Helmet Vanga;Passeriformes;Vangidae
HIMALAYAN BLUETAIL;Himalayan Bush-Robin;Passeriformes;Muscicapidae
HIMALAYAN MONAL;Himalayan Monal;Galliformes;Phasianidae
HOATZIN;Hoatzin;Opisthocomiformes;Opisthocomidae
HOODED MERGANSER;Hooded Merganser;Anseriformes;Anatidae
HOOPOES;Eurasian Hoopoe;Bucerotiformes;Upupidae
HORNED GUAN;Horned Guan;Galliformes;Cracidae
HORNED LARK;Horned Lark;Passeriformes;Alaudidae
HORNED SUNGEM;Horned Sungem;Apodiformes;Trochilidae
HOUSE FINCH;House Finch;Passeriformes;Fringillidae
HOUSE SPARROW;House Sparrow;Passeriformes;Passeridae
HYACINTH MACAW;Hyacinth Macaw;Psittaciformes;Psittacidae
IBERIAN MAGPIE;Iberian Magpie;Passeriformes;Corvidae
IBISBILL;Ibisbill;Charadriiformes;Haematopodidae
IMPERIAL SHAQ;Imperial Georgia Shag;Pelecaniformes;Phalacrocoracidae
INCA TERN;Inca Tern;Charadriiformes;Laridae
INDIAN BUSTARD;Indian Bustard;Otidiformes;Otididae
INDIAN PITTA;Indian Pitta;Passeriformes;Pittidae
INDIAN ROLLER;Indian Roller;Coraciiformes;Coraciidae
INDIAN VULTURE;Long-billed Vulture;Accipitriformes;Accipitridae
INDIGO BUNTING;Indigo Bunting;Passeriformes;Cardinalidae
INDIGO FLYCATCHER;Indigo Flycatcher;Passeriformes;Muscicapidae
INLAND DOTTEREL;Inland Dotterel;Charadriiformes;Charadriidae
IVORY BILLED ARACARI;Ivory-billed Aracari;Piciformes;Ramphastidae
IVORY GULL;Ivory Gull;Charadriiformes;Laridae
IWI;Southern Brown Kiwi;Apterygiformes;Apterygidae
JABIRU;Black-necked Stork;Pelecaniformes;Ciconiidae
JACK SNIPE;Jack Snipe;Charadriiformes;Scolopacidae
JACOBIN PIGEON;JACOBIN PIGEON;Columbiformes;Columbidae
JANDAYA PARAKEET;Jandaya Parakeet;Psittaciformes;Psittacidae
JAPANESE ROBIN;Japanese Robin;Passeriformes;Muscicapidae
JAVA SPARROW;Java Sparrow;Passeriformes;Estrildidae
JOCOTOCO ANTPITTA;Jocotoco Antpitta;Passeriformes;Grallariidae
KAGU;Kagu;Eurypygiformes;Rhynochetidae
KAKAPO;Kakapo;Psittaciformes;Strigopidae
KILLDEAR;Killdeer;Charadriiformes;Charadriidae
KING EIDER;King Eider;Anseriformes;Anatidae
KING VULTURE;King Vulture;Accipitriformes;Cathartidae
KIWI;Little Spotted Kiwi;Apterygiformes;Apterygidae
KNOB BILLED DUCK;Knob-billed Duck;Anseriformes;Anatidae
KOOKABURRA;Laughing Kookaburra;Coraciiformes;Alcedinidae
LARK BUNTING;Lark Bunting;Passeriformes;Passerellidae
LAUGHING GULL;Laughing Gull;Charadriiformes;Laridae
LAZULI BUNTING;Lazuli Bunting;Passeriformes;Cardinalidae
LESSER ADJUTANT;Lesser Adjutant;Pelecaniformes;Ciconiidae
LILAC ROLLER;Lilac-breasted Roller;Coraciiformes;Coraciidae
LIMPKIN;Limpkin;Gruiformes;Aramidae
LITTLE AUK;Dovekie;Charadriiformes;Alcidae
LOGGERHEAD SHRIKE;Loggerhead Shrike;Passeriformes;Laniidae
LONG-EARED OWL;Long-eared Owl;Strigiformes;Strigidae
LUCIFER HUMMINGBIRD;Lucifer Hummingbird;Apodiformes;Trochilidae
MAGPIE GOOSE;Magpie Goose;Anseriformes;Anseranatidae
MALABAR HORNBILL;Malabar Pied-Hornbill;Bucerotiformes;Bucerotidae
MALACHITE KINGFISHER;Malachite Kingfisher;Coraciiformes;Alcedinidae
MALAGASY WHITE EYE;Malagasy White-eye;Passeriformes;Zosteropidae
MALEO;Maleo;Galliformes;Megapodiidae
MALLARD DUCK;Mallard;Anseriformes;Anatidae
MANDRIN DUCK;Mandarin Duck;Anseriformes;Anatidae
MANGROVE CUCKOO;Mangrove Cuckoo;Cuculiformes;Cuculidae
MARABOU STORK;Marabou Stork;Pelecaniformes;Ciconiidae
MASKED BOBWHITE;Northern Bobwhite�;Galliformes;Odontophoridae
MASKED BOOBY;Masked Booby;Pelecaniformes;Sulidae
MASKED LAPWING;Masked Lapwing;Charadriiformes;Charadriidae
MCKAYS BUNTING;McKay's Bunting;Passeriformes;Calcariidae
MERLIN;Merlin;Falconiformes;Falconidae
MIKADO  PHEASANT;Mikado Pheasant;Galliformes;Phasianidae
MILITARY MACAW;Military Macaw;Psittaciformes;Psittacidae
MOURNING DOVE;Mourning Collared-Dove;Columbiformes;Columbidae
MYNA;Common Myna;Passeriformes;Sturnidae
NICOBAR PIGEON;Nicobar Pigeon;Columbiformes;Columbidae
NOISY FRIARBIRD;Noisy Friarbird;Passeriformes;Meliphagidae
NORTHERN BEARDLESS TYRANNULET;Northern Beardless-Tyrannulet;Passeriformes;Tyrannidae
NORTHERN CARDINAL;Northern Cardinal;Passeriformes;Cardinalidae
NORTHERN FLICKER;Northern Flicker;Piciformes;Picidae
NORTHERN FULMAR;Northern Fulmar;Procellariiformes;Procellariidae
NORTHERN GANNET;Northern Gannet;Pelecaniformes;Sulidae
NORTHERN GOSHAWK;Eurasian Goshawk;Accipitriformes;Accipitridae
NORTHERN JACANA;Northern Jacana;Charadriiformes;Jacanidae
NORTHERN MOCKINGBIRD;Northern Mockingbird;Passeriformes;Mimidae
NORTHERN PARULA;Northern Parula;Passeriformes;Parulidae
NORTHERN RED BISHOP;Northern Red Bishop;Passeriformes;Ploceidae
NORTHERN SHOVELER;Northern Shoveler;Anseriformes;Anatidae
OCELLATED TURKEY;Ocellated Turkey;Galliformes;Phasianidae
OILBIRD;Oilbird;Caprimulgiformes;Steatornithidae
OKINAWA RAIL;Okinawa Rail;Gruiformes;Rallidae
ORANGE BREASTED TROGON;Orange-breasted Trogon;Trogoniformes;Trogonidae
ORANGE BRESTED BUNTING;Orange-breasted Bunting;Passeriformes;Cardinalidae
ORIENTAL BAY OWL;Oriental Bay-Owl;Strigiformes;Tytonidae
ORNATE HAWK EAGLE;Ornate Hawk-Eagle;Accipitriformes;Accipitridae
OSPREY;Osprey;Accipitriformes;Pandionidae
OSTRICH;African Ostrich;Struthioniformes;Struthionidae
OVENBIRD;Rufous Hornero;Passeriformes;Furnariidae
OYSTER CATCHER;Pied Oystercatcher;Charadriiformes;Haematopodidae
PAINTED BUNTING;Painted Bunting;Passeriformes;Cardinalidae
PALILA;Palila;Passeriformes;Fringillidae
PALM NUT VULTURE;Palm-nut Vulture;Accipitriformes;Accipitridae
PARADISE TANAGER;Paradise Tanager;Passeriformes;Thraupidae
PARAKETT  AUKLET;Parakeet Auklet;Charadriiformes;Alcidae
PARUS MAJOR;Eurasian Great Tit;Passeriformes;Paridae
PATAGONIAN SIERRA FINCH;Patagonian Sierra-Finch;Passeriformes;Thraupidae
PEACOCK;Peacock Coquette;Apodiformes;Trochilidae
PEREGRINE FALCON;Peregrine Falcon;Falconiformes;Falconidae
PHAINOPEPLA;Phainopepla;Passeriformes;Ptiliogonatidae
PHILIPPINE EAGLE;Great Philippine Eagle;Accipitriformes;Accipitridae
PINK ROBIN;Pink Robin;Passeriformes;Petroicidae
PLUSH CRESTED JAY;Plush-crested Jay;Passeriformes;Corvidae
POMARINE JAEGER;Pomarine Jaeger;Charadriiformes;Stercorariidae
PUFFIN;Atlantic Puffin;Charadriiformes;Alcidae
PUNA TEAL;Puna Teal;Anseriformes;Anatidae
PURPLE FINCH;Purple Finch;Passeriformes;Fringillidae
PURPLE GALLINULE;Purple Swamphen;Gruiformes;Rallidae
PURPLE MARTIN;Purple Martin;Passeriformes;Hirundinidae
PURPLE SWAMPHEN;Purple Swamphen;Gruiformes;Rallidae
PYGMY KINGFISHER;African Pygmy-Kingfisher;Coraciiformes;Alcedinidae
PYRRHULOXIA;Pyrrhuloxia;Passeriformes;Cardinalidae
QUETZAL;Resplendent Quetzal;Trogoniformes;Trogonidae
RAINBOW LORIKEET;Rainbow Lorikeet;Psittaciformes;Psittaculidae
RAZORBILL;Razorbill;Charadriiformes;Alcidae
RED BEARDED BEE EATER;Red-bearded Bee-eater;Coraciiformes;Meropidae
RED BELLIED PITTA;Red-bellied Pitta;Passeriformes;Pittidae
RED BILLED TROPICBIRD;Red-billed Tropicbird;Phaethontiformes;Phaethontidae
RED BROWED FINCH;Red-browed Firetail;Passeriformes;Estrildidae
RED CROSSBILL;Scottish Crossbill;Passeriformes;Fringillidae
RED FACED CORMORANT;Red-faced Cormorant;Pelecaniformes;Phalacrocoracidae
RED FACED WARBLER;Red-faced Warbler;Passeriformes;Parulidae
RED FODY;Madagascar Red Fody;Passeriformes;Ploceidae
RED HEADED DUCK;Redhead;Anseriformes;Anatidae
RED HEADED WOODPECKER;Red-headed Woodpecker;Piciformes;Picidae
RED KNOT;Red Knot;Charadriiformes;Scolopacidae
RED LEGGED HONEYCREEPER;Red-legged Honeycreeper;Passeriformes;Thraupidae
RED NAPED TROGON;Red-naped Trogon;Trogoniformes;Trogonidae
RED SHOULDERED HAWK;Red-shouldered Hawk;Accipitriformes;Accipitridae
RED TAILED HAWK;Red-tailed Hawk;Accipitriformes;Accipitridae
RED TAILED THRUSH;Red-tailed Ant-Thrush;Passeriformes;Turdidae
RED WINGED BLACKBIRD;Red-winged Blackbird;Passeriformes;Icteridae
RED WISKERED BULBUL;Red-whiskered Bulbul;Passeriformes;Pycnonotidae
REGENT BOWERBIRD;Regent Bowerbird;Passeriformes;Ptilonorhynchidae
RING-NECKED PHEASANT;Common Pheasant;Galliformes;Phasianidae
ROADRUNNER;Greater Roadrunner;Cuculiformes;Cuculidae
ROCK DOVE;Rock Pigeon;Columbiformes;Columbidae
ROSE BREASTED COCKATOO;Galah;Psittaciformes;Cacatuidae
ROSE BREASTED GROSBEAK;Rose-breasted Grosbeak;Passeriformes;Cardinalidae
ROSEATE SPOONBILL;Roseate Spoonbill;Pelecaniformes;Threskiornithidae
ROSY FACED LOVEBIRD;Rosy-faced Lovebird;Psittaciformes;Psittaculidae
ROUGH LEG BUZZARD;Rough-legged Hawk;Accipitriformes;Accipitridae
ROYAL FLYCATCHER;Amazonian Royal-Flycatcher;Passeriformes;Onychorhynchidae
RUBY CROWNED KINGLET;Ruby-crowned Kinglet;Passeriformes;Regulidae
RUBY THROATED HUMMINGBIRD;Ruby-throated Hummingbird;Apodiformes;Trochilidae
RUDDY SHELDUCK;Ruddy Shelduck;Anseriformes;Anatidae
RUDY KINGFISHER;Common Kingfisher;Coraciiformes;Alcedinidae
RUFOUS KINGFISHER;Green-and-rufous Kingfisher;Coraciiformes;Alcedinidae
RUFOUS TREPE;Rufous Treecreeper;Passeriformes;Climacteridae
RUFUOS MOTMOT;Rufous Motmot;Coraciiformes;Momotidae
SAMATRAN THRUSH;Shiny Whistling-Thrush;Passeriformes;Muscicapidae
SAND MARTIN;Sand Martin;Passeriformes;Hirundinidae
SANDHILL CRANE;Sandhill Crane;Gruiformes;Gruidae
SATYR TRAGOPAN;Satyr Tragopan;Galliformes;Phasianidae
SAYS PHOEBE;Say's Phoebe;Passeriformes;Tyrannidae
SCARLET CROWNED FRUIT DOVE;Crimson-crowned Fruit-Dove;Columbiformes;Columbidae
SCARLET FACED LIOCICHLA;Scarlet-faced Liocichla;Passeriformes;Leiothrichidae
SCARLET IBIS;Scarlet Ibis;Pelecaniformes;Threskiornithidae
SCARLET MACAW;Scarlet Macaw;Psittaciformes;Psittacidae
SCARLET TANAGER;Scarlet Tanager;Passeriformes;Cardinalidae
SHOEBILL;Shoebill;Pelecaniformes;Balaenicipitidae
SHORT BILLED DOWITCHER;Short-billed Dowitcher;Charadriiformes;Scolopacidae
SMITHS LONGSPUR;Smith's Longspur;Smith's Longspur;Calcariidae
SNOW GOOSE;Snow Goose;Anseriformes;Anatidae
SNOW PARTRIDGE;Snow Partridge;Galliformes;Phasianidae
SNOWY EGRET;Snowy Egret;Pelecaniformes;Ardeidae
SNOWY OWL;Snowy Owl;Strigiformes;Strigidae
SNOWY PLOVER;Snowy Plover;Charadriiformes;Charadriidae
SNOWY SHEATHBILL;Snowy Sheathbill;Charadriiformes;Chionidae
SORA;Sora;Gruiformes;Rallidae
SPANGLED COTINGA;Spangled Cotinga;Passeriformes;Cotingidae
SPLENDID WREN;Splendid Fairywren;Passeriformes;Maluridae
SPOON BILED SANDPIPER;Spoon-billed Sandpiper;Charadriiformes;Scolopacidae
SPOTTED CATBIRD;Spotted Catbird;Passeriformes;Ptilonorhynchidae
SPOTTED WHISTLING DUCK;Spotted Whistling-Duck;Anseriformes;Anatidae
SQUACCO HERON;Squacco Heron;Pelecaniformes;Ardeidae
SRI LANKA BLUE MAGPIE;Ceylon Magpie;Passeriformes;Corvidae
STEAMER DUCK;Chubut Steamerduck;Anseriformes;Anatidae
STORK BILLED KINGFISHER;Stork-billed Kingfisher;Coraciiformes;Alcedinidae
STRIATED CARACARA;Striated Caracara;Falconiformes;Falconidae
STRIPED OWL;Striped Owl;Strigiformes;Strigidae
STRIPPED MANAKIN;Eastern Striped Manakin;Passeriformes;Pipridae
STRIPPED SWALLOW;Lesser Striped-Swallow;Passeriformes;Hirundinidae
SUNBITTERN;Sunbittern;Eurypygiformes;Eurypygidae
SUPERB STARLING;Superb Starling;Passeriformes;Sturnidae
SURF SCOTER;Surf Scoter;Anseriformes;Anatidae
SWINHOES PHEASANT;Swinhoe's Pheasant;Galliformes;Phasianidae
TAILORBIRD;Common Tailorbird;Passeriformes;Cisticolidae
TAIWAN MAGPIE;Formosan Magpie;Passeriformes;Corvidae
TAKAHE;South Island Takahe;Gruiformes;Rallidae
TASMANIAN HEN;Tasmanian Native-hen;Gruiformes;Rallidae
TAWNY FROGMOUTH;Tawny Frogmouth;Caprimulgiformes;Podargidae
TEAL DUCK;Common Teal;Anseriformes;Anatidae
TIT MOUSE;Tufted Titmouse;Passeriformes;Paridae
TOUCHAN;Black-billed Mountain-Toucan;Piciformes;Ramphastidae
TOWNSENDS WARBLER;Townsend's Warbler;Passeriformes;Parulidae
TREE SWALLOW;Tree Swallow;Passeriformes;Hirundinidae
TRICOLORED BLACKBIRD;Tricolored Blackbird;Passeriformes;Icteridae
TROPICAL KINGBIRD;Tropical Kingbird;Passeriformes;Tyrannidae
TRUMPTER SWAN;Trumpeter Swan;Anseriformes;Anatidae
TURKEY VULTURE;Turkey Vulture;Accipitriformes;Cathartidae
TURQUOISE MOTMOT;Turquoise-browed Motmot;Coraciiformes;Momotidae
UMBRELLA BIRD;Amazonian Umbrellabird;Passeriformes;Cotingidae
VARIED THRUSH;Varied Thrush;Passeriformes;Turdidae
VEERY;Veery;Passeriformes;Turdidae
VENEZUELIAN TROUPIAL;Venezuelan Troupial;Passeriformes;Icteridae
VERDIN;Verdin;Passeriformes;Remizidae
VERMILION FLYCATHER;Brujo Flycatcher;Passeriformes;Tyrannidae
VICTORIA CROWNED PIGEON;Victoria Crowned-Pigeon;Columbiformes;Columbidae
VIOLET BACKED STARLING;Violet-backed Starling;Passeriformes;Sturnidae
VIOLET CUCKOO;Violet Cuckoo;Cuculiformes;Cuculidae
VIOLET GREEN SWALLOW;Violet-green Swallow;Passeriformes;Hirundinidae
VIOLET TURACO;Violet Turaco;Musophagiformes;Musophagidae
VISAYAN HORNBILL;Tarictic Hornbill;Bucerotiformes;Bucerotidae
VULTURINE GUINEAFOWL;Vulturine Guineafowl;Galliformes;Numididae
WALL CREAPER;Wallcreeper;Passeriformes;Sittidae
WATTLED CURASSOW;Wattled Curassow;Galliformes;Cracidae
WATTLED LAPWING;Wattled Lapwing;Charadriiformes;Charadriidae
WHIMBREL;Whimbrel;Charadriiformes;Scolopacidae
WHITE BREASTED WATERHEN;White-breasted Waterhen;Gruiformes;Rallidae
WHITE BROWED CRAKE;White-browed Crake;Gruiformes;Rallidae
WHITE CHEEKED TURACO;White-cheeked Turaco;Musophagiformes;Musophagidae
WHITE CRESTED HORNBILL;Western or Eastern Long-tailed Hornbill;Bucerotiformes;Bucerotidae
WHITE EARED HUMMINGBIRD;White-eared Hummingbird;Apodiformes;Trochilidae
WHITE NECKED RAVEN;White-necked Raven;Passeriformes;Corvidae
WHITE TAILED TROPIC;White-tailed Tropicbird;Phaethontiformes;Phaethontidae
WHITE THROATED BEE EATER;White-throated Bee-eater;Coraciiformes;Meropidae
WILD TURKEY;Wild Turkey;Galliformes;Phasianidae
WILLOW PTARMIGAN;Willow Ptarmigan;Galliformes;Phasianidae
WILSONS BIRD OF PARADISE;Wilson's Bird-of-paradise;Passeriformes;Paradisaeidae
WOOD DUCK;Wood Duck;Anseriformes;Anatidae
WOOD THRUSH;Wood Thrush;Passeriformes;Turdidae
WOODLAND KINGFISHER;Woodland Kingfisher;Coraciiformes;Alcedinidae
WRENTIT;Wrentit;Passeriformes;Sylviidae
YELLOW BELLIED FLOWERPECKER;Yellow-bellied Flowerpecker;Passeriformes;Dicaeidae
YELLOW BREASTED CHAT;Yellow-breasted Chat;Passeriformes;Icteridae
YELLOW CACIQUE;Yellow-rumped Cacique;Passeriformes;Icteridae
YELLOW HEADED BLACKBIRD;Yellow-headed Blackbird;Passeriformes;Icteridae
ZEBRA DOVE;Zebra Dove;Columbiformes;Columbidae
